week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
10/2/2021,38300,"pittsburgh, pa",22,-10.0%,-9.5%,-7,-12.3%,-1.1%,0.9%,8.6%,1.5%
10/2/2021,38900,"portland-vancouver-hillsboro, or-wa",23,10.0%,-17.4%,-9,-19.6%,-3.1%,2.2%,-1.3%,1.9%
10/2/2021,16740,"charlotte-concord-gastonia, nc-sc",24,9.9%,-28.7%,-8,-18.6%,-13.1%,2.6%,8.5%,3.2%
10/2/2021,36740,"orlando-kissimmee-sanford, fl",25,16.9%,-46.0%,-16,-27.1%,-5.4%,6.1%,-39.2%,0.4%
10/2/2021,17460,"cleveland-elyria, oh",26,-5.0%,-4.3%,-2,-4.2%,11.5%,2.0%,0.0%,0.2%
10/2/2021,17140,"cincinnati, oh-ky-in",27,-1.3%,-7.2%,0,0.0%,-4.8%,0.3%,11.6%,1.5%
10/2/2021,41700,"san antonio-new braunfels, tx",28,15.0%,-25.0%,-12,-21.8%,7.9%,3.9%,5.0%,2.4%
10/2/2021,40900,"sacramento--roseville--arden-arcade, ca",29,10.0%,-1.6%,0,0.0%,-9.0%,-1.2%,34.1%,2.3%
10/2/2021,28140,"kansas city, mo-ks",30,-3.0%,-4.8%,-5,-10.2%,-3.7%,0.1%,-0.6%,0.3%
10/2/2021,18140,"columbus, oh",31,-3.4%,-2.5%,-2,-6.5%,10.3%,1.9%,12.4%,1.2%
10/2/2021,26900,"indianapolis-carmel-anderson, in",32,0.0%,-25.0%,-5,-11.4%,-12.6%,2.2%,-30.8%,-1.1%
10/2/2021,29820,"las vegas-henderson-paradise, nv",33,25.2%,-32.3%,-10,-24.4%,-7.9%,3.2%,-25.0%,0.4%
10/2/2021,12420,"austin-round rock, tx",34,35.4%,-8.6%,-15,-31.9%,11.8%,2.7%,24.8%,2.1%
10/2/2021,34980,"nashville-davidson--murfreesboro--franklin, tn",35,12.5%,-38.2%,-9,-29.0%,-14.5%,5.1%,-8.7%,2.4%
10/2/2021,41940,"san jose-sunnyvale-santa clara, ca",36,6.3%,-26.3%,-1,-2.9%,-5.7%,4.0%,-25.0%,-0.2%
10/2/2021,47260,"virginia beach-norfolk-newport news, va-nc",37,-3.6%,-17.2%,-6,-15.4%,2.8%,2.4%,7.4%,1.2%
10/2/2021,33340,"milwaukee-waukesha-west allis, wi",38,-8.3%,-0.8%,-2,-4.8%,2.8%,0.5%,10.9%,1.0%
10/2/2021,39300,"providence-warwick, ri-ma",39,7.3%,-13.2%,-5,-11.9%,-6.9%,1.0%,9.5%,1.1%
10/2/2021,27260,"jacksonville, fl",40,14.8%,-26.5%,-17,-29.3%,28.2%,6.8%,20.0%,2.9%
10/2/2021,36420,"oklahoma city, ok",41,-0.2%,-22.9%,-2,-4.2%,-21.7%,0.2%,-22.4%,0.0%
10/2/2021,31140,"louisville/jefferson county, ky-in",42,-7.4%,1.0%,-6,-17.1%,22.1%,2.7%,18.4%,1.0%
10/2/2021,32820,"memphis, tn-ms-ar",43,0.5%,-17.7%,-6,-13.3%,-11.8%,0.9%,-26.1%,-0.7%
10/2/2021,35380,"new orleans-metairie, la",44,4.6%,-13.5%,4,6.1%,-16.8%,-0.3%,-33.2%,-1.4%
10/2/2021,40060,"richmond, va",45,0.0%,-21.1%,-5,-10.2%,-14.7%,1.1%,1.5%,1.2%
10/2/2021,15380,"buffalo-cheektowaga-niagara falls, ny",46,3.3%,-7.6%,3,6.5%,-7.8%,0.0%,-11.5%,-0.2%
10/2/2021,25540,"hartford-west hartford-east hartford, ct",47,10.0%,-54.8%,-1,-2.4%,-23.8%,5.9%,-21.9%,2.6%
10/2/2021,39580,"raleigh, nc",48,7.7%,-50.7%,-31,-63.3%,-6.4%,9.8%,-36.7%,0.7%
10/2/2021,13820,"birmingham-hoover, al",49,5.7%,-27.3%,-5,-9.6%,-11.2%,2.4%,-16.0%,0.6%
10/2/2021,40380,"rochester, ny",50,-7.9%,-22.8%,-8,-26.7%,-1.4%,3.8%,-22.7%,-0.3%
10/2/2021,46060,"tucson, az",51,14.7%,4.2%,-8,-19.0%,15.8%,1.6%,27.2%,1.4%
10/2/2021,41620,"salt lake city, ut",52,8.1%,-1.0%,-12,-34.3%,24.9%,3.7%,4.8%,0.1%
10/2/2021,24340,"grand rapids-wyoming, mi",53,6.4%,-22.0%,-7,-15.6%,-8.2%,2.4%,-19.1%,0.0%
10/2/2021,46140,"tulsa, ok",54,-3.6%,-22.2%,-4,-8.2%,-6.3%,2.3%,-25.6%,-0.5%
10/2/2021,10580,"albany-schenectady-troy, ny",55,-1.5%,-27.7%,1,1.6%,-27.8%,0.0%,-32.4%,-0.4%
10/2/2021,10740,"albuquerque, nm",56,17.3%,-25.4%,-3,-6.5%,-19.7%,0.9%,-15.2%,1.1%
10/2/2021,49340,"worcester, ma-ct",57,6.7%,-11.3%,0,0.0%,-1.1%,1.7%,3.7%,0.8%
10/2/2021,36540,"omaha-council bluffs, ne-ia",58,-6.8%,-15.8%,-6,-14.0%,2.8%,2.9%,15.4%,1.7%
10/2/2021,28940,"knoxville, tn",59,3.1%,-17.4%,-9,-17.6%,25.8%,5.7%,3.2%,1.2%
10/2/2021,14860,"bridgeport-stamford-norwalk, ct",60,18.2%,-50.5%,13,25.5%,-29.0%,2.9%,-27.4%,1.5%
10/2/2021,24860,"greenville-anderson-mauldin, sc",61,14.7%,-35.6%,-11,-18.6%,19.8%,6.7%,-24.0%,0.6%
10/2/2021,35300,"new haven-milford, ct",62,15.8%,-54.9%,2,4.8%,-31.8%,4.2%,-21.6%,2.6%
10/2/2021,35840,"north port-sarasota-bradenton, fl",63,28.4%,-63.7%,-21,-33.3%,-32.4%,7.1%,-50.2%,1.3%
10/2/2021,19380,"dayton, oh",64,2.5%,-4.5%,-1,-2.6%,9.3%,1.9%,21.6%,2.3%
10/2/2021,46520,"urban honolulu, hi",65,13.9%,-18.6%,-21,-31.8%,23.8%,2.6%,-36.8%,-0.5%
10/2/2021,10900,"allentown-bethlehem-easton, pa-nj",66,7.1%,-10.6%,8,26.7%,-19.0%,-1.3%,-16.6%,-0.4%
10/2/2021,12940,"baton rouge, la",67,7.6%,-44.7%,-9,-11.4%,-18.0%,3.1%,-52.3%,-1.0%
10/2/2021,17900,"columbia, sc",68,13.4%,-29.4%,-10,-26.3%,-22.7%,1.1%,-29.5%,-0.1%
10/2/2021,24660,"greensboro-high point, nc",69,-6.9%,-19.2%,-5,-11.4%,4.0%,3.4%,-23.5%,-0.6%
10/2/2021,23420,"fresno, ca",70,14.3%,-0.2%,4,15.4%,-7.0%,-1.1%,23.2%,1.3%
10/2/2021,30780,"little rock-north little rock-conway, ar",71,-2.0%,-25.8%,0,0.0%,-7.3%,2.6%,-5.0%,1.6%
10/2/2021,16700,"charleston-north charleston, sc",72,1.6%,-48.5%,-23,-37.7%,-3.0%,6.6%,-52.2%,-1.2%
10/2/2021,10420,"akron, oh",73,-0.1%,8.7%,-4,-9.3%,22.6%,1.8%,6.0%,-0.4%
10/2/2021,15980,"cape coral-fort myers, fl",74,25.0%,-61.3%,-28,-38.9%,-29.9%,6.1%,-44.6%,1.6%
10/2/2021,21340,"el paso, tx",75,13.6%,-17.0%,-2,-4.1%,1.0%,2.3%,-45.0%,-1.3%
10/2/2021,37100,"oxnard-thousand oaks-ventura, ca",76,7.2%,-15.5%,13,40.6%,-20.3%,-0.8%,-28.8%,-0.9%
10/2/2021,17820,"colorado springs, co",77,8.9%,6.4%,-9,-27.3%,60.2%,6.8%,51.1%,2.0%
10/2/2021,31540,"madison, wi",78,8.5%,-16.1%,-4,-8.3%,-14.7%,0.2%,28.4%,3.1%
10/2/2021,12540,"bakersfield, ca",79,8.1%,8.8%,-2,-5.6%,26.8%,2.1%,-12.6%,-1.4%
10/2/2021,45060,"syracuse, ny",80,-2.5%,-12.9%,1,1.6%,-21.6%,-1.3%,-35.6%,-1.7%
10/2/2021,49180,"winston-salem, nc",81,-8.7%,-15.1%,-8,-16.3%,11.2%,3.7%,-7.6%,0.2%
10/2/2021,19660,"deltona-daytona beach-ormond beach, fl",82,21.3%,-32.6%,-15,-26.8%,-4.0%,3.6%,9.4%,3.2%
10/2/2021,48620,"wichita, ks",83,-7.2%,-13.1%,-4,-8.7%,-0.7%,1.6%,-12.1%,-0.1%
10/2/2021,45780,"toledo, oh",84,-15.7%,-3.2%,-6,-13.3%,-11.0%,-1.0%,-11.9%,-1.1%
10/2/2021,14260,"boise city, id",85,26.5%,151.1%,-4,-10.0%,53.9%,-7.4%,704.7%,9.5%
10/2/2021,44140,"springfield, ma",86,-8.6%,-25.3%,-8,-20.5%,-9.7%,2.6%,17.8%,2.5%
10/2/2021,19780,"des moines-west des moines, ia",87,10.8%,-23.4%,-3,-5.1%,-1.5%,2.5%,-25.6%,-0.7%
10/2/2021,29460,"lakeland-winter haven, fl",88,26.1%,-48.4%,-21,-35.0%,-2.6%,7.8%,-19.3%,2.3%
10/2/2021,37340,"palm bay-melbourne-titusville, fl",89,9.4%,-31.2%,-11,-19.3%,-16.7%,2.0%,-13.0%,1.5%
10/2/2021,32580,"mcallen-edinburg-mission, tx",90,18.0%,-6.3%,-20,-28.2%,18.3%,1.9%,0.0%,0.2%
10/2/2021,42540,"scranton--wilkes-barre--hazleton, pa",91,-7.5%,-14.5%,-10,-17.9%,13.2%,3.0%,27.3%,2.1%
10/2/2021,25420,"harrisburg-carlisle, pa",92,-7.1%,-4.9%,0,0.0%,8.3%,1.8%,19.2%,1.4%
10/2/2021,49660,"youngstown-warren-boardman, oh-pa",93,-6.5%,-2.5%,-7,-12.5%,18.8%,2.1%,48.2%,3.2%
10/2/2021,12260,"augusta-richmond county, ga-sc",94,10.3%,-14.3%,-9,-15.3%,16.1%,3.4%,11.5%,1.0%
10/2/2021,44700,"stockton-lodi, ca",95,16.4%,29.9%,-2,-5.4%,-0.5%,-4.3%,116.7%,2.8%
10/2/2021,16860,"chattanooga, tn-ga",96,2.0%,-22.3%,-9,-18.0%,-10.4%,1.7%,-11.0%,0.9%
10/2/2021,38860,"portland-south portland, me",97,5.0%,-27.6%,-6,-15.4%,-27.6%,0.0%,9.3%,2.4%
10/2/2021,20500,"durham-chapel hill, nc",98,5.6%,-34.3%,-32,-51.6%,21.4%,8.0%,-16.2%,1.1%
10/2/2021,44060,"spokane-spokane valley, wa",99,21.1%,14.2%,-7,-16.7%,24.1%,1.2%,78.5%,3.3%
10/2/2021,27140,"jackson, ms",100,-3.3%,-35.5%,-10,-14.3%,-25.6%,1.3%,18.0%,3.4%
9/25/2021,35620,"new york-newark-jersey city, ny-nj-pa",1,-1.6%,-13.9%,0,0.0%,-13.0%,0.1%,-25.7%,-0.6%
9/25/2021,31080,"los angeles-long beach-anaheim, ca",2,-2.8%,-22.0%,-1,-2.0%,-13.9%,1.2%,-23.5%,-0.2%
9/25/2021,16980,"chicago-naperville-elgin, il-in-wi",3,-5.4%,-18.5%,-4,-9.5%,-8.9%,1.3%,-13.1%,0.4%
9/25/2021,19100,"dallas-fort worth-arlington, tx",4,10.0%,-33.2%,-9,-19.6%,-1.6%,5.0%,-24.5%,0.5%
9/25/2021,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,-7.1%,0.1%,5,11.9%,-3.9%,-0.5%,11.8%,0.9%
9/25/2021,47900,"washington-arlington-alexandria, dc-va-md-wv",6,-1.9%,16.0%,6,21.4%,2.0%,-1.8%,41.4%,1.6%
9/25/2021,26420,"houston-the woodlands-sugar land, tx",7,10.1%,-18.9%,-9,-17.0%,16.4%,3.5%,10.1%,1.9%
9/25/2021,33100,"miami-fort lauderdale-west palm beach, fl",8,14.6%,-46.7%,-32,-34.4%,-12.4%,3.6%,-45.0%,0.0%
9/25/2021,12060,"atlanta-sandy springs-roswell, ga",9,12.2%,-27.8%,-8,-17.8%,-7.0%,3.0%,-15.5%,0.9%
9/25/2021,14460,"boston-cambridge-newton, ma-nh",10,0.0%,-20.4%,-8,-25.0%,-9.4%,1.9%,-29.8%,-1.0%
9/25/2021,41860,"san francisco-oakland-hayward, ca",11,-5.8%,-21.6%,-6,-17.1%,-12.4%,1.7%,-37.1%,-1.3%
9/25/2021,19820,"detroit-warren-dearborn, mi",12,-7.4%,-8.9%,-7,-18.9%,4.4%,1.7%,1.7%,0.7%
9/25/2021,38060,"phoenix-mesa-scottsdale, az",13,16.5%,-16.8%,-6,-15.8%,1.4%,3.0%,8.0%,2.0%
9/25/2021,42660,"seattle-tacoma-bellevue, wa",14,10.4%,-39.0%,-5,-14.3%,-7.7%,6.8%,-39.6%,-0.6%
9/25/2021,33460,"minneapolis-st. paul-bloomington, mn-wi",15,0.0%,-8.4%,-4,-11.1%,-5.4%,0.4%,25.0%,2.2%
9/25/2021,40140,"riverside-san bernardino-ontario, ca",16,15.1%,-5.3%,-5,-12.2%,-6.9%,-0.3%,30.4%,1.7%
9/25/2021,45300,"tampa-st. petersburg-clearwater, fl",17,19.8%,-37.8%,-13,-26.0%,-0.2%,6.2%,-22.2%,1.2%
9/25/2021,41740,"san diego-carlsbad, ca",18,6.1%,-5.4%,22,104.8%,-64.7%,-17.7%,17.4%,1.9%
9/25/2021,41180,"st. louis, mo-il",19,0.0%,-17.2%,-9,-15.8%,-10.6%,0.9%,-10.8%,0.5%
9/25/2021,19740,"denver-aurora-lakewood, co",20,16.7%,-32.0%,-10,-27.8%,-10.5%,4.2%,-19.7%,1.2%
9/25/2021,12580,"baltimore-columbia-towson, md",21,-1.5%,-3.9%,2,5.7%,-3.2%,0.1%,14.5%,1.4%
9/25/2021,38300,"pittsburgh, pa",22,-9.2%,-10.1%,-8,-14.5%,8.9%,1.9%,0.9%,0.8%
9/25/2021,38900,"portland-vancouver-hillsboro, or-wa",23,10.5%,-17.4%,-9,-20.0%,1.9%,3.0%,11.5%,3.0%
9/25/2021,16740,"charlotte-concord-gastonia, nc-sc",24,8.4%,-26.9%,-11,-26.2%,-6.1%,3.4%,-2.4%,1.8%
9/25/2021,36740,"orlando-kissimmee-sanford, fl",25,16.9%,-45.8%,-18,-31.0%,-11.7%,5.5%,-47.6%,-0.7%
9/25/2021,17460,"cleveland-elyria, oh",26,-9.5%,-5.7%,0,0.0%,-14.2%,-1.2%,-3.9%,0.3%
9/25/2021,17140,"cincinnati, oh-ky-in",27,-1.0%,-6.2%,0,0.0%,2.5%,1.1%,31.1%,2.8%
9/25/2021,41700,"san antonio-new braunfels, tx",28,13.2%,-23.8%,-9,-17.3%,-3.0%,2.6%,8.1%,2.5%
9/25/2021,40900,"sacramento--roseville--arden-arcade, ca",29,9.1%,1.6%,-1,-2.9%,-0.4%,-0.3%,33.5%,2.2%
9/25/2021,28140,"kansas city, mo-ks",30,-3.0%,-3.0%,-5,-10.2%,0.2%,0.4%,1.0%,0.3%
9/25/2021,18140,"columbus, oh",31,-5.1%,-2.2%,-4,-12.9%,9.2%,1.7%,-3.1%,-0.3%
9/25/2021,26900,"indianapolis-carmel-anderson, in",32,-1.8%,-25.9%,-5,-11.6%,-13.4%,2.2%,-22.6%,0.1%
9/25/2021,29820,"las vegas-henderson-paradise, nv",33,25.8%,-33.1%,-10,-25.0%,-7.6%,3.3%,-23.2%,0.7%
9/25/2021,12420,"austin-round rock, tx",34,34.0%,-8.3%,-17,-36.2%,7.1%,2.0%,46.4%,4.1%
9/25/2021,34980,"nashville-davidson--murfreesboro--franklin, tn",35,12.5%,-42.3%,-10,-31.3%,-15.6%,5.2%,-21.9%,1.6%
9/25/2021,41940,"san jose-sunnyvale-santa clara, ca",36,4.2%,-28.5%,-3,-8.6%,-16.3%,2.5%,-31.4%,-0.4%
9/25/2021,47260,"virginia beach-norfolk-newport news, va-nc",37,-4.5%,-16.4%,-6,-15.8%,2.6%,2.2%,22.3%,1.5%
9/25/2021,33340,"milwaukee-waukesha-west allis, wi",38,-11.3%,-0.8%,-4,-9.8%,-3.1%,-0.3%,8.4%,0.8%
9/25/2021,39300,"providence-warwick, ri-ma",39,7.5%,-10.6%,-2,-5.4%,-1.2%,1.5%,-11.7%,-0.2%
9/25/2021,27260,"jacksonville, fl",40,14.0%,-30.0%,-19,-33.3%,9.9%,5.2%,4.0%,2.4%
9/25/2021,36420,"oklahoma city, ok",41,3.5%,-18.9%,-4,-8.0%,-12.7%,0.8%,-4.4%,1.0%
9/25/2021,31140,"louisville/jefferson county, ky-in",42,-5.7%,-5.5%,-3,-8.8%,-8.7%,-0.4%,14.5%,1.9%
9/25/2021,32820,"memphis, tn-ms-ar",43,-7.7%,-13.1%,-5,-11.4%,0.0%,1.9%,9.4%,1.3%
9/25/2021,35380,"new orleans-metairie, la",44,4.3%,-11.5%,1,1.6%,-23.5%,-1.1%,-32.4%,-1.6%
9/25/2021,40060,"richmond, va",45,-1.4%,-19.7%,-4,-8.5%,-7.9%,1.8%,-24.2%,-0.5%
9/25/2021,15380,"buffalo-cheektowaga-niagara falls, ny",46,2.3%,-8.2%,1,2.3%,-11.3%,-0.5%,-7.3%,0.1%
9/25/2021,25540,"hartford-west hartford-east hartford, ct",47,11.7%,-55.5%,1,2.4%,-9.4%,7.7%,-17.8%,3.0%
9/25/2021,39580,"raleigh, nc",48,7.7%,-51.4%,-29,-59.2%,1.0%,10.5%,-40.1%,0.4%
9/25/2021,13820,"birmingham-hoover, al",49,5.7%,-27.8%,-3,-6.0%,-15.8%,1.8%,-34.3%,-0.6%
9/25/2021,40380,"rochester, ny",50,-4.6%,-24.2%,-7,-24.1%,-14.8%,1.7%,-32.7%,-0.9%
9/25/2021,46060,"tucson, az",51,15.5%,-0.8%,-8,-19.0%,0.7%,0.2%,40.8%,2.8%
9/25/2021,41620,"salt lake city, ut",52,13.2%,-4.9%,-8,-25.8%,19.7%,3.6%,9.1%,0.8%
9/25/2021,24340,"grand rapids-wyoming, mi",53,5.0%,-22.2%,-9,-19.6%,15.6%,5.7%,-24.0%,-0.6%
9/25/2021,46140,"tulsa, ok",54,-6.4%,-20.8%,-8,-15.4%,-0.8%,2.5%,-5.4%,1.2%
9/25/2021,10580,"albany-schenectady-troy, ny",55,-1.5%,-26.9%,-1,-1.6%,-11.1%,1.9%,-30.7%,-0.4%
9/25/2021,10740,"albuquerque, nm",56,10.5%,-22.7%,-8,-17.0%,-8.6%,2.2%,-19.3%,0.2%
9/25/2021,49340,"worcester, ma-ct",57,6.6%,-10.7%,-1,-3.2%,0.8%,1.8%,5.5%,0.9%
9/25/2021,36540,"omaha-council bluffs, ne-ia",58,-10.4%,-16.9%,-8,-18.2%,-6.3%,1.6%,4.3%,1.3%
9/25/2021,28940,"knoxville, tn",59,3.1%,-19.9%,-8,-15.4%,-6.0%,1.8%,-1.7%,1.5%
9/25/2021,14860,"bridgeport-stamford-norwalk, ct",60,18.1%,-50.4%,10,18.5%,-33.1%,2.3%,-22.1%,2.1%
9/25/2021,24860,"greenville-anderson-mauldin, sc",61,14.1%,-38.6%,-12,-21.1%,-34.3%,0.8%,-45.9%,-0.8%
9/25/2021,35300,"new haven-milford, ct",62,16.1%,-54.4%,0,0.0%,-27.2%,4.6%,-15.3%,2.8%
9/25/2021,35840,"north port-sarasota-bradenton, fl",63,30.4%,-63.1%,-26,-40.6%,-23.0%,8.3%,-39.3%,2.3%
9/25/2021,19380,"dayton, oh",64,-4.8%,-4.3%,0,0.0%,-1.4%,0.4%,22.2%,2.7%
9/25/2021,46520,"urban honolulu, hi",65,16.5%,-19.4%,-20,-30.8%,25.7%,2.9%,-28.4%,-0.3%
9/25/2021,10900,"allentown-bethlehem-easton, pa-nj",66,3.4%,-7.5%,5,15.6%,-15.0%,-1.1%,1.8%,0.6%
9/25/2021,12940,"baton rouge, la",67,8.8%,-45.4%,-14,-17.3%,-15.5%,3.0%,-36.6%,0.7%
9/25/2021,17900,"columbia, sc",68,13.0%,-25.1%,-9,-24.3%,-5.2%,2.7%,-21.4%,0.1%
9/25/2021,24660,"greensboro-high point, nc",69,-5.5%,-21.8%,-11,-22.0%,-24.1%,-0.4%,26.2%,3.3%
9/25/2021,23420,"fresno, ca",70,17.1%,5.0%,1,3.6%,7.5%,0.4%,-9.0%,-0.9%
9/25/2021,30780,"little rock-north little rock-conway, ar",71,6.0%,-25.7%,-3,-6.5%,-9.7%,2.1%,-5.3%,1.4%
9/25/2021,16700,"charleston-north charleston, sc",72,1.0%,-49.1%,-23,-38.3%,-24.4%,4.1%,-35.9%,1.5%
9/25/2021,10420,"akron, oh",73,-2.5%,3.3%,0,0.0%,8.8%,0.7%,20.3%,1.2%
9/25/2021,15980,"cape coral-fort myers, fl",74,26.5%,-62.3%,-28,-38.4%,-33.9%,5.5%,-57.1%,0.3%
9/25/2021,21340,"el paso, tx",75,17.2%,-17.7%,3,6.7%,30.2%,5.4%,-23.7%,-0.5%
9/25/2021,37100,"oxnard-thousand oaks-ventura, ca",76,4.1%,-7.9%,18,72.0%,-3.4%,0.6%,0.0%,0.4%
9/25/2021,17820,"colorado springs, co",77,10.1%,-4.6%,-10,-30.3%,19.9%,3.6%,45.6%,3.0%
9/25/2021,31540,"madison, wi",78,4.5%,-12.5%,-9,-19.1%,6.7%,2.6%,16.7%,1.6%
9/25/2021,12540,"bakersfield, ca",79,6.5%,3.4%,-1,-2.9%,16.7%,1.7%,6.4%,0.1%
9/25/2021,45060,"syracuse, ny",80,-2.5%,-11.2%,-12,-17.1%,-8.5%,0.3%,4.1%,1.1%
9/25/2021,49180,"winston-salem, nc",81,-10.4%,-13.5%,-11,-22.0%,24.0%,4.6%,17.6%,1.3%
9/25/2021,19660,"deltona-daytona beach-ormond beach, fl",82,20.4%,-33.4%,-17,-30.4%,-11.8%,3.0%,-8.0%,1.7%
9/25/2021,48620,"wichita, ks",83,-6.7%,-10.9%,-3,-6.7%,0.0%,1.5%,11.4%,1.4%
9/25/2021,45780,"toledo, oh",84,-12.9%,3.4%,-5,-11.6%,6.9%,0.4%,-8.3%,-1.6%
9/25/2021,14260,"boise city, id",85,27.2%,146.5%,-3,-7.9%,44.1%,-7.7%,1351.5%,15.9%
9/25/2021,44140,"springfield, ma",86,-8.5%,-19.7%,-11,-26.2%,-6.2%,2.2%,-16.4%,0.1%
9/25/2021,19780,"des moines-west des moines, ia",87,12.0%,-25.1%,-1,-1.8%,-5.6%,2.2%,-24.6%,-0.2%
9/25/2021,29460,"lakeland-winter haven, fl",88,26.5%,-50.3%,-22,-36.7%,-21.6%,5.2%,-30.7%,1.6%
9/25/2021,37340,"palm bay-melbourne-titusville, fl",89,11.1%,-26.5%,-16,-28.1%,1.4%,3.5%,-5.2%,1.6%
9/25/2021,32580,"mcallen-edinburg-mission, tx",90,15.6%,-5.9%,-23,-31.9%,39.1%,3.2%,9.7%,0.3%
9/25/2021,42540,"scranton--wilkes-barre--hazleton, pa",91,-2.1%,-14.4%,-11,-19.6%,-12.8%,0.2%,32.1%,2.5%
9/25/2021,25420,"harrisburg-carlisle, pa",92,-7.7%,-8.9%,6,14.3%,9.3%,2.2%,4.1%,0.7%
9/25/2021,49660,"youngstown-warren-boardman, oh-pa",93,-6.5%,-2.7%,-7,-12.5%,10.0%,1.3%,26.9%,2.2%
9/25/2021,12260,"augusta-richmond county, ga-sc",94,7.4%,-16.6%,-6,-11.1%,-16.7%,0.0%,-10.0%,0.3%
9/25/2021,44700,"stockton-lodi, ca",95,16.2%,33.5%,-6,-16.7%,4.9%,-4.0%,108.1%,2.9%
9/25/2021,16860,"chattanooga, tn-ga",96,0.1%,-20.8%,-10,-19.6%,2.3%,2.6%,40.8%,4.1%
9/25/2021,38860,"portland-south portland, me",97,5.9%,-19.8%,-4,-10.8%,16.1%,4.7%,1.5%,0.9%
9/25/2021,20500,"durham-chapel hill, nc",98,5.0%,-37.8%,-23,-39.7%,-24.3%,2.4%,-38.6%,-0.2%
9/25/2021,44060,"spokane-spokane valley, wa",99,19.5%,9.5%,-8,-19.0%,17.5%,1.1%,82.8%,3.4%
9/25/2021,27140,"jackson, ms",100,-11.3%,-37.0%,-15,-21.1%,-18.6%,2.1%,-54.4%,-2.2%
9/18/2021,35620,"new york-newark-jersey city, ny-nj-pa",1,-4.6%,-13.8%,2,3.5%,-16.1%,-0.2%,-27.2%,-0.7%
9/18/2021,31080,"los angeles-long beach-anaheim, ca",2,-2.5%,-20.9%,-1,-2.0%,-11.3%,1.3%,-34.4%,-0.9%
